"sequence","lotation_code","lotation_type_code","lotation_type_description","calculation_base","incidence_indicator","remuneration_base","fgts_to_deposit","fgts_notification","rubric_nature"
"18","E00482-001-01A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","13 - FGTS (período anterior) mensal","1 - Normal (incidência de FGTS)","2257.83","180.59","-","-"
"18","E00482-001-01A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","14 - FGTS (período anterior) 13º salário","1 - Normal (incidência de FGTS)","1247.19","99.74","-","-"
"18","E00482-001-01A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","3159.01","252.69","-","-"
"19","E00472-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","775965.51","62074.74","-","-"
"19","E00472-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","7138.98","571.05","-","-"
"19","E00472-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","561.44","44.90","-","-"
"19","E00472-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","1686.94","134.95","-","-"
"19","E00472-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","713.66","57.07","-","-"
"20","E00438-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","350999.45","28079.14","-","-"
"20","E00438-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","1518.09","121.43","-","-"
"21","E02009-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","264303.82","21143.69","-","-"
"22","E00468-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","75240.60","6019.12","-","-"
"23","E00460-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","154649.21","12371.70","-","-"
"24","E00446-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","85439.98","6834.55","-","-"
"24","E00446-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","548.86","43.90","-","-"
"24","E00446-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","91.48","7.31","-","-"
"25","E00250-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","3559.89","284.79","-","-"
"26","E00425-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","87141.44","6971.15","-","-"
"26","E00425-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","13 - FGTS (período anterior) mensal","1 - Normal (incidência de FGTS)","177.17","14.17","-","-"
"26","E00425-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","711.72","56.93","-","-"
"26","E00425-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","582.32","46.58","-","-"
"27","E02023-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","374352.69","29948.03","-","-"
